Package,Function,File,Line,Complexity,HasTest
main,sandbox,file_github_com_containerd_containerd_api_services_sandbox_v1_sandbox_proto_init ../containerd/api/services/sandbox/v1/sandbox.pb.go,2047,87,false
main,tasks,file_github_com_containerd_containerd_api_services_tasks_v1_tasks_proto_init ../containerd/api/services/tasks/v1/tasks.pb.go,2011,84,false
main,task,file_github_com_containerd_containerd_api_runtime_task_v3_shim_proto_init ../containerd/api/runtime/task/v3/shim.pb.go,2002,81,false
main,task,file_github_com_containerd_containerd_api_runtime_task_v2_shim_proto_init ../containerd/api/runtime/task/v2/shim.pb.go,2002,81,false
main,run,NewContainer ../containerd/cmd/ctr/commands/run/run_unix.go,89,72,false
main,sandbox,file_github_com_containerd_containerd_api_runtime_sandbox_v1_sandbox_proto_init ../containerd/api/runtime/sandbox/v1/sandbox.pb.go,1381,63,false
main,server,(*criService).CRImportCheckpoint ../containerd/internal/cri/server/container_checkpoint_linux.go,110,59,false
main,snapshots,file_github_com_containerd_containerd_api_services_snapshots_v1_snapshots_proto_init ../containerd/api/services/snapshots/v1/snapshots.pb.go,1474,57,false
main,content,file_github_com_containerd_containerd_api_services_content_v1_content_proto_init ../containerd/api/services/content/v1/content.pb.go,1547,57,false
main,server,(*criService).RunPodSandbox ../containerd/internal/cri/server/sandbox_run.go,53,53,false
main,metadata,(*gcContext).scanRoots ../containerd/core/metadata/gc.go,245,53,false
main,podsandbox,(*Controller).Start ../containerd/internal/cri/server/podsandbox/sandbox_run.go,60,47,false
main,metadata,(*snapshotter).createSnapshot ../containerd/core/metadata/snapshot.go,299,46,false
main,docker,(dockerPusher).push ../containerd/core/remotes/docker/pusher.go,70,42,false
main,server,New ../containerd/cmd/containerd/server/server.go,120,42,false
main,unpack,(*Unpacker).unpack ../containerd/core/unpack/unpacker.go,283,39,false
main,containers,file_github_com_containerd_containerd_api_services_containers_v1_containers_proto_init ../containerd/api/services/containers/v1/containers.pb.go,1010,39,false
main,server,(*criService).StartContainer ../containerd/internal/cri/server/container_start.go,45,38,false
main,server,(*criService).buildLinuxSpec ../containerd/internal/cri/server/container_create.go,702,38,false
main,server,(*criService).createContainer ../containerd/internal/cri/server/container_create.go,224,38,false
main,config,ConfigureHosts ../containerd/core/remotes/docker/config/hosts.go,77,38,false
main,contentserver,(*service).Write ../containerd/plugins/services/content/contentserver/contentserver.go,255,37,false
main,opts,withMounts ../containerd/internal/cri/opts/spec_linux_opts.go,42,37,false
main,docker,(dockerFetcher).open ../containerd/core/remotes/docker/fetcher.go,440,37,false
main,command,App ../containerd/cmd/containerd/command/main.go,73,37,false
main,local,(*localTransferService).pull ../containerd/core/transfer/local/pull.go,38,36,false
main,leases,file_github_com_containerd_containerd_api_services_leases_v1_leases_proto_init ../containerd/api/services/leases/v1/leases.pb.go,805,36,false
main,events,file_github_com_containerd_containerd_api_events_task_proto_init ../containerd/api/events/task.pb.go,863,36,false
main,shim,run ../containerd/pkg/shim/shim.go,217,35,false
main,docker,(*dockerResolver).Resolve ../containerd/core/remotes/docker/resolver.go,235,35,false
main,walking,(*walkingDiff).Compare ../containerd/plugins/diff/walking/differ.go,62,34,false
main,filters,unquoteChar ../containerd/pkg/filters/quote.go,47,34,false
main,archive,(*ChangeWriter).HandleChange ../containerd/pkg/archive/tar.go,544,34,false
main,server,(*criService).recover ../containerd/internal/cri/server/restart.go,55,34,false
main,archive,createTarFile ../containerd/pkg/archive/tar.go,330,33,false
main,archive,applyNaive ../containerd/pkg/archive/tar.go,163,33,false
main,server,(*criService).loadContainer ../containerd/internal/cri/server/restart.go,265,33,false
main,archive,Export ../containerd/core/images/archive/exporter.go,215,33,false
main,namespaces,file_github_com_containerd_containerd_api_services_namespaces_v1_namespace_proto_init ../containerd/api/services/namespaces/v1/namespace.pb.go,723,33,false
main,images,file_github_com_containerd_containerd_api_services_images_v1_images_proto_init ../containerd/api/services/images/v1/images.pb.go,819,33,false
main,resourcequantity,ParseQuantity ../containerd/internal/cri/resourcequantity/quantity.go,290,32,false
main,config,parseHostConfig ../containerd/core/remotes/docker/config/hosts.go,423,32,false
main,archive,ImportIndex ../containerd/core/images/archive/importer.go,65,32,false
main,erofs,(erofsDiff).Compare ../containerd/plugins/diff/erofs/differ_linux.go,130,31,false
main,server,(*criService).CheckpointContainer ../containerd/internal/cri/server/container_checkpoint_linux.go,459,31,false
main,scheduler,(*gcScheduler).run ../containerd/plugins/gc/scheduler.go,236,30,false
main,windows,(windowsDiff).Compare ../containerd/plugins/diff/windows/windows.go,175,30,false
main,mount,(*Mount).mount ../containerd/core/mount/mount_linux.go,89,30,false
main,metadata,(*snapshotter).Commit ../containerd/core/metadata/snapshot.go,522,29,false
main,testsuite,checkCommitErrorState ../containerd/core/content/testsuite/testsuite.go,375,29,false
main,oci,WithUser ../containerd/pkg/oci/spec_opts.go,592,27,false
main,server,(*criService).execInternal ../containerd/internal/cri/server/container_execsync.go,112,27,false
main,run,NewContainer ../containerd/cmd/ctr/commands/run/run_windows.go,45,27,false
main,filters,unquote ../containerd/pkg/filters/quote.go,162,26,false
main,podsandbox,(*Controller).sandboxContainerSpec ../containerd/internal/cri/server/podsandbox/sandbox_run_linux.go,40,26,false
main,registry,(*OCIRegistry).MarshalAny ../containerd/core/transfer/registry/registry.go,237,26,false
main,images,Manifest ../containerd/core/images/image.go,153,26,false
main,seccomp,DefaultProfile ../containerd/contrib/seccomp/seccomp_default.go,57,26,false
main,client,(*Client).Pull ../containerd/client/pull.go,43,26,false
main,client,(*Client).Import ../containerd/client/import.go,138,26,false
main,local,(*localTransferService).importStream ../containerd/core/transfer/local/import.go,35,25,false
main,testsuite,checkSnapshotterBasic ../containerd/core/snapshots/testsuite/testsuite.go,132,25,false
main,metadata,(*contentStore).garbageCollect ../containerd/core/metadata/content.go,844,25,false
main,transfer,init ../containerd/plugins/transfer/plugin.go,45,24,false
main,overlay,(*snapshotter).createSnapshot ../containerd/plugins/snapshots/overlay/overlay.go,428,24,false
main,local,(*writer).Commit ../containerd/plugins/content/local/writer.go,79,24,false
main,tracing,keyValue ../containerd/pkg/tracing/helpers.go,26,24,false
main,server,(*criService).stopContainer ../containerd/internal/cri/server/container_stop.go,83,24,false
main,resourcequantity,parseQuantityString ../containerd/internal/cri/resourcequantity/quantity.go,173,24,false
main,metadata,(*contentStore).Writer ../containerd/core/metadata/content.go,373,24,false
main,introspection,file_github_com_containerd_containerd_api_services_introspection_v1_introspection_proto_init ../containerd/api/services/introspection/v1/introspection.pb.go,703,24,false
main,runtime,migrateConfig ../containerd/plugins/cri/runtime/plugin.go,207,23,false
main,server,copyResourcesToStatus ../containerd/internal/cri/server/helpers.go,269,23,false
main,opts,WithResources ../containerd/internal/cri/opts/spec_linux_opts.go,334,23,false
main,usage,CalculateImageUsage ../containerd/core/images/usage/calculator.go,78,23,false
main,manager,(manager).Start ../containerd/cmd/containerd-shim-runc-v2/manager/manager_linux.go,184,23,false
main,oci,getDevices ../containerd/pkg/oci/utils_unix.go,48,22,false
main,metadata,(*containerStore).Update ../containerd/core/metadata/containers.go,169,22,false
main,images,ProgressHandler ../containerd/cmd/ctr/commands/images/pull.go,260,22,false
main,content,ShowProgress ../containerd/cmd/ctr/commands/content/fetch.go,218,22,false
main,tasks,(*local).Create ../containerd/plugins/services/tasks/local.go,161,21,false
main,config,ValidateRuntimeConfig ../containerd/internal/cri/config/config.go,606,21,false
main,streaming,SendStream ../containerd/core/transfer/streaming/stream.go,45,21,false
main,testsuite,checkUpdate ../containerd/core/snapshots/testsuite/testsuite.go,608,21,false
main,docker,(dockerFetcher).Fetch ../containerd/core/remotes/docker/fetcher.go,220,21,false
main,metadata,(*imageStore).Update ../containerd/core/metadata/images.go,180,21,false
main,metadata,(*gcContext).scanAll ../containerd/core/metadata/gc.go,571,21,false
main,metadata,(*namespacedWriter).commit ../containerd/core/metadata/content.go,650,21,false
main,server,(*criService).mutateImageMount ../containerd/internal/cri/server/container_image_mount.go,69,20,false
main,resourcequantity,pow10Int64 ../containerd/internal/cri/resourcequantity/math.go,217,20,false
main,image,(*Store).Store ../containerd/core/transfer/image/imagestore.go,215,20,false
main,eventq,New ../containerd/internal/eventq/eventq.go,56,19,false
